City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,taltal,-25.4,-70.4833,22.66,69,99,2.64,CL,1678225095
194,lagoa,39.05,-27.9833,14.8,80,3,16.83,PT,1678225091
195,kavieng,-2.5744,150.7967,25.71,83,100,2.57,PG,1678225095
196,pemagatsel,27.0319,91.4266,9.53,72,3,1.99,BT,1678225096
197,thompson,55.7435,-97.8558,-13.91,56,20,2.57,CA,1678225096
198,reyes,-14.3167,-67.3833,30.61,61,63,2.57,BO,1678225097
199,campana,-34.1687,-58.9591,33.36,40,98,3.63,AR,1678225097
200,tuatapere,-46.1333,167.6833,19.69,69,6,1.74,NZ,1678225097
201,basco,20.4487,121.9702,22.08,65,72,6.51,PH,1678225098
202,rongcheng,30.634,117.8517,17.35,51,100,1.43,CN,1678225098
203,port blair,11.6667,92.75,27.02,78,40,1.54,IN,1678225099
204,armidale,-30.5167,151.65,21.19,58,70,5.69,AU,1678225100
205,meulaboh,4.1363,96.1285,24.7,86,85,1.1,ID,1678225100
206,margate,51.3813,1.3862,2.72,87,72,1.47,GB,1678225101
207,mao,39.8885,4.2658,13.31,88,20,4.63,ES,1678225102
208,bose,45.4612,8.0137,7.89,80,17,1.53,IT,1678225102
209,santa rosa,14.3122,121.1114,23.99,85,0,2.95,PH,1678225080
210,wenling,28.3669,121.36,13.04,79,83,2.34,CN,1678225103
211,achacachi,-16.05,-68.6833,11.84,73,99,5.03,BO,1678225103
212,te anau,-45.4167,167.7167,18.08,76,30,2.34,NZ,1678224930
213,bandhi,26.5861,68.3006,20.93,28,0,1.09,PK,1678225104
214,nantucket,41.2835,-70.0995,4.06,57,100,7.72,US,1678225104
215,san ignacio,17.1561,-89.0714,32.08,48,75,0.0,BZ,1678225105
216,san matias,-16.3667,-58.4,29.07,70,100,1.09,BO,1678225105
217,macusani,-14.0833,-70.4333,7.91,68,90,3.65,PE,1678225106
218,uniao,-4.5858,-42.8642,28.61,54,63,2.02,BR,1678225106
219,bethel,41.3712,-73.414,5.52,50,80,3.58,US,1678225107
220,new glasgow,45.5834,-62.6486,-0.12,93,98,4.29,CA,1678225108
221,planadas,3.197,-75.6451,26.24,85,100,1.16,CO,1678225108
222,ancud,-41.8697,-73.8203,14.94,66,75,2.48,CL,1678224854
223,nakhon thai,17.1006,100.8374,22.81,55,0,1.18,TH,1678225109
224,la ronge,55.1001,-105.2842,-11.86,40,20,6.17,CA,1678225109
225,namibe,-15.1961,12.1522,21.29,80,45,1.29,AO,1678225109
226,hambantota,6.1241,81.1185,24.19,100,0,2.57,LK,1678224870
227,venezuela,8.0,-66.0,35.21,27,83,4.04,VE,1678225034
228,klaksvik,62.2266,-6.589,-1.49,61,100,11.93,FO,1678225110
229,walvis bay,-22.9575,14.5053,16.72,75,0,5.43,NA,1678224832
230,tias,28.9611,-13.645,17.82,77,20,4.12,ES,1678225111
231,road town,18.4167,-64.6167,28.02,57,40,1.03,VG,1678225111
